level1
TREE,PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,
PATH,PATH,PATH,PATH,PATH,PATH,TREE,PATH,PATH,PATH,PATH,PATH,PATH,TREE,PATH,
PATH,PATH,PATH,TREE,TREE,PATH,PATH,PATH,TREE,PATH,PATH,PATH,PATH,PATH,PATH,
PATH,PATH,CHARACTER,FINISH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,TREE,PATH,PATH,
PATH,PATH,PATH,PATH,TREE,PATH,TREE,PATH,PATH,PATH,PATH,PATH,PATH,PATH,TREE,
PATH,PATH,TREE,PATH,PATH,PATH,PATH,PATH,PATH,PATH,TREE,TREE,PATH,TREE,PATH,
TREE,PATH,PATH,PATH,PATH,TREE,PATH,PATH,TREE,PATH,PATH,PATH,PATH,PATH,PATH,
PATH,PATH,PATH,TREE,PATH,TREE,PATH,PATH,TREE,PATH,PATH,PATH,PATH,TREE,PATH,
PATH,PATH,TREE,PATH,PATH,PATH,PATH,PATH,PATH,PATH,TREE,PATH,PATH,PATH,PATH,
TREE,PATH,PATH,PATH,PATH,PATH,TREE,PATH,PATH,PATH,PATH,PATH,TREE,PATH,PATH,
