level10
PATH,TREE,PATH,PATH,PATH,PATH,TREE,PATH,PATH,PATH,TREE,PATH,PATH,PATH,PATH,
PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,TREE,PATH,PATH,
PATH,PATH,PATH,PATH,TREE,TREE,TREE,TREE,TREE,PATH,PATH,PATH,PATH,TREE,TREE,
PATH,PATH,PATH,TREE,CHARACTER,PATH,PATH,PATH,PATH,TREE,PATH,TREE,PATH,PATH,PATH,
TREE,PATH,PATH,TREE,TREE,TREE,TREE,TREE,PATH,TREE,PATH,PATH,PATH,PATH,TREE,
TREE,PATH,PATH,PATH,PATH,PATH,PATH,TREE,PATH,TREE,PATH,PATH,TREE,PATH,PATH,
PATH,PATH,PATH,PATH,PATH,PATH,PATH,TREE,PATH,TREE,PATH,TREE,PATH,PATH,PATH,
PATH,PATH,PATH,PATH,PATH,PATH,PATH,TREE,PATH,TREE,PATH,PATH,PATH,PATH,TREE,
PATH,PATH,TREE,PATH,TREE,PATH,PATH,TREE,PATH,TREE,PATH,PATH,PATH,PATH,PATH,
PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,FINISH,PATH,PATH,TREE,PATH,TREE,PATH,
