level7
TREE,PATH,PATH,PATH,PATH,TREE,PATH,PATH,TREE,PATH,PATH,PATH,TREE,PATH,TREE,
PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,
PATH,PATH,TREE,PATH,PATH,PATH,TREE,PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,
PATH,PATH,PATH,PATH,PATH,TREE,PATH,PATH,PATH,PATH,PATH,TREE,PATH,PATH,PATH,
TREE,PATH,PATH,PATH,PATH,PATH,PATH,TREE,PATH,PATH,TREE,CHARACTER,TREE,PATH,PATH,
PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,PATH,TREE,PATH,PATH,PATH,TREE,PATH,
PATH,PATH,PATH,TREE,PATH,PATH,PATH,PATH,TREE,PATH,PATH,PATH,PATH,PATH,PATH,
PATH,PATH,PATH,PATH,PATH,PATH,PATH,TREE,PATH,PATH,PATH,TREE,PATH,PATH,PATH,
PATH,PATH,PATH,PATH,PATH,PATH,TREE,PATH,PATH,PATH,PATH,PATH,TREE,DRAG,TREE,
TREE,PATH,PATH,PATH,PATH,TREE,PATH,PATH,PATH,PATH,PATH,PATH,TREE,FINISH,TREE,
