level4
TREE,PATH,PATH,TREE,PATH,PATH,PATH,PATH,TREE,PATH,PATH,TREE,PATH,PATH,TREE,
PATH,PATH,PATH,PATH,TREE,PATH,PATH,TREE,PATH,TREE,PATH,TREE,PATH,TREE,PATH,
PATH,PATH,PATH,TREE,PATH,TREE,TREE,TREE,TREE,PATH,PATH,PATH,PATH,PATH,PATH,
TREE,PATH,PATH,PATH,TREE,TREE,TREE,PATH,CHARACTER,TREE,PATH,PATH,TREE,TREE,PATH,
PATH,PATH,PATH,TREE,PATH,PATH,TREE,PATH,TREE,TREE,TREE,PATH,PATH,PATH,TREE,
PATH,PATH,PATH,TREE,PATH,TREE,PATH,PATH,TREE,TREE,PATH,PATH,PATH,PATH,PATH,
PATH,PATH,TREE,PATH,PATH,TREE,PATH,PATH,TREE,PATH,PATH,TREE,TREE,PATH,PATH,
PATH,PATH,PATH,PATH,PATH,TREE,TREE,PATH,TREE,PATH,PATH,PATH,PATH,PATH,PATH,
PATH,TREE,PATH,TREE,PATH,FINISH,TREE,TREE,PATH,PATH,PATH,PATH,PATH,PATH,PATH,
TREE,PATH,PATH,PATH,TREE,PATH,PATH,TREE,PATH,PATH,TREE,PATH,TREE,PATH,TREE,
